Position(0) = 133.877 136.407 451.215
Position(1) = 74.425 569.847 635.231
Position(2) = 89.4532 556.179 789.652
Position(3) = 249.778 291.865 803.236
Position(4) = 474.594 269.94 286.042
Position(5) = 306.187 321.759 113.174
Position(6) = 119.353 69.119 694.761
Position(7) = 392.524 529.937 398.371
Position(8) = 190.357 596.991 888.42
Position(9) = 283.265 885.305 261.775
Position(10) = 520.485 19.5213 506.688
Position(11) = 494.311 550.787 728.838
Position(12) = 14.0257 449.801 183.249
Position(13) = 576.431 923.869 24.3946
Position(14) = 764.918 749.209 763.557
Position(15) = 485.557 246.053 961.432
Position(16) = 660.952 541.209 597.058
Position(17) = 720.757 459.556 636.031
Position(18) = 774.678 896.903 673.12
Position(19) = 728.696 780.637 270.851
Position(20) = 140.694 773.214 473.833
Position(21) = 879.618 765.078 43.1865
Position(22) = 866.697 268.361 954.2
Position(23) = 410.242 717.94 648.346
Position(24) = 590.958 94.2489 101.084
Position(25) = 353.562 496.918 665.151
Position(26) = 664.376 307.979 224.498
Position(27) = 151.784 786.661 499.095
Position(28) = 264.327 504.22 493.222
Position(29) = 226.929 282.706 410.169
Position(30) = 124.855 810.18 856.087
Position(31) = 22.6 882.839 658.221
Position(32) = 722.961 369.706 47.6587
Position(33) = 366.027 394.724 694.348
Position(34) = 179.663 464.767 593.499
Position(35) = 482.279 432.138 296.946
Position(36) = 93.5853 327.921 130.597
Position(37) = 528.859 32.2123 941.345
Position(38) = 210.311 322.9 528.552
Position(39) = 515.927 374.645 272.068
Position(40) = 443.488 631.913 485.08
Position(41) = 580.683 490.019 209.041
Position(42) = 210.439 486.545 874.311
Position(43) = 452.453 564.665 213.238
Position(44) = 48.0867 710.663 631.442
Position(45) = 59.0945 409.933 752.102
Position(46) = 105.196 705.243 84.6267
Position(47) = 891.219 951.368 20.3172
Position(48) = 606.953 500.508 423.253
Position(49) = 514.861 506.893 465.481
Position(50) = 449.523 142.955 583.983
Position(51) = 477.013 531.823 260.833
Position(52) = 905.372 259.981 684.549
Position(53) = 955.118 785.336 702.684
Position(54) = 379.581 478.939 381.52
Position(55) = 989.81 372.752 766.878
Position(56) = 146.358 571.217 233.249
Position(57) = 804.749 725.471 402.967
Position(58) = 202.681 140.577 419.604
Position(59) = 340.268 704.524 16.686
Position(60) = 465.336 432.195 859.601
Position(61) = 658.226 61.3016 575.702
Position(62) = 807.04 915.061 945.771
Position(63) = 407.887 806.362 361.721
Position(64) = 316.655 639.101 635.301
Position(65) = 894.318 977.659 399.471
Position(66) = 215.861 818.813 874.43
Position(67) = 856.952 98.072 684.264
Position(68) = 251.865 672.718 112.547
Position(69) = 369.036 915.665 784.603
Position(70) = 243.641 711.6 59.2449
Position(71) = 382.279 245.185 719.913
Position(72) = 219.581 696.963 501.181
Position(73) = 932.337 340.43 847.627
Position(74) = 984.581 370.889 643.346
Position(75) = 153.822 479.126 618.218
Position(76) = 991.478 804.813 664.748
Position(77) = 893.739 198.109 992.13
Position(78) = 768.123 990.381 728.212
Position(79) = 407.586 951.375 886.068
Position(80) = 355.477 758.314 745.04
Position(81) = 54.5966 891.059 783.073
Position(82) = 530.103 525.024 396.454
Position(83) = 714.822 428.934 940.76
Position(84) = 261.858 500.958 989.318
Position(85) = 979.457 406.286 690.908
Position(86) = 541.023 765.097 156.685
Position(87) = 496.358 270.831 509.43
Position(88) = 154.712 371.542 272.16
Position(89) = 14.7546 724.619 745.338
Position(90) = 412.062 548.257 833.93
Position(91) = 992.568 398.09 562.618
Position(92) = 194.637 171.728 481.287
Position(93) = 964.439 473.993 896.145
Position(94) = 433.598 644.665 598.306
Position(95) = 87.696 336.719 536.224
Position(96) = 466.602 774.287 774.081
Position(97) = 333.722 582.19 466.896
Position(98) = 896.219 91.2746 322.253
Position(99) = 698.743 692.285 713.357
Position(100) = 549.482 879.904 355.154
Position(101) = 959.632 428.42 558.381
Position(102) = 529.469 267.182 732.784
Position(103) = 236.624 955.023 94.6467
Position(104) = 133.573 329.793 105.019
Position(105) = 396.096 106.321 989.274
Position(106) = 224.184 697.14 479.499
Position(107) = 511.924 989.796 626.367
Position(108) = 768.018 156.694 804.735
Position(109) = 290.116 665.443 860.501
Position(110) = 604.334 838.371 457.179
Position(111) = 737.508 424.982 77.0333
Position(112) = 919.242 398.756 478.714
Position(113) = 435.504 229.737 515.441
Position(114) = 574.502 82.5014 343.285
Position(115) = 809.736 624.618 667.386
Position(116) = 240.857 820.975 958.272
Position(117) = 499.277 629.554 493.345
Position(118) = 536.01 35.1984 628.434
Position(119) = 313.025 519.143 295.858
Position(120) = 790.879 537.787 299.735
Position(121) = 489.275 529.398 216.201
Position(122) = 762.849 685.206 455.108
Position(123) = 209.752 546.456 423.881
Position(124) = 942.052 534.147 145.019
Position(125) = 600.996 670.684 209.161
Position(126) = 631.197 918.166 512.997
Position(127) = 322.001 32.4968 984.608
Position(128) = 611.066 246.378 410.075
Position(129) = 77.9713 252.41 603.131
Position(130) = 715.874 297.455 433.354
Position(131) = 670.778 945.318 695.122
Position(132) = 237.969 975.633 608.008
Position(133) = 621.524 554.087 547.088
Position(134) = 218.271 182.247 21.3581
Position(135) = 410.954 360.138 327.861
Position(136) = 664.555 458.989 526.233
Position(137) = 905.657 952.715 771.137
Position(138) = 488.365 560.306 115.12
Position(139) = 712.837 605.402 526.018
Position(140) = 525.459 936.221 661.219
Position(141) = 762.403 558.843 131.693
Position(142) = 965.107 602.435 503.494
Position(143) = 945.776 143.556 967.374
Position(144) = 226.482 374.666 143.312
Position(145) = 940.858 661.402 369.277
Position(146) = 67.836 592.848 7.7979
Position(147) = 178.482 329.299 970.28
Position(148) = 391.746 54.2207 104.914
Position(149) = 114.082 619.56 557.101
Position(150) = 221.486 700.46 750.568
Position(151) = 374.398 887.364 94.4673
Position(152) = 651.176 981.076 941.992
Position(153) = 584.906 780.461 545.145
Position(154) = 638.45 889.193 78.8543
Position(155) = 757.094 655.928 324.392
Position(156) = 357.475 247.612 52.2498
Position(157) = 530.205 660.17 250.018
Position(158) = 116.534 432.659 771.183
Position(159) = 996.399 213.549 757.691
Position(160) = 895.659 212.62 375.177
Position(161) = 857.062 764.473 518.205
Position(162) = 919.158 189.799 962.408
Position(163) = 866.101 838.536 615.209
Position(164) = 633.672 825.249 244.85
Position(165) = 565.661 905.475 984.342
Position(166) = 512.065 513.325 768.358
Position(167) = 725.424 94.9978 829.119
Position(168) = 120.07 111.186 685.3
Position(169) = 494.353 712.124 733.32
